"year","month","county","antal","ers_tagare","akt_stod","anst_m_stod"
2012,"augusti","GÄVLEBORG",352,8,7,NA
2012,"augusti","HALLAND",474,13,10,NA
2012,"augusti","JÄMTLAND",239,4,15,NA
2012,"augusti","JÖNKÖPING",411,7,10,NA
2012,"augusti","KALMAR",331,9,13,NA
2012,"augusti","KRONOBERG",342,4,6,NA
2012,"augusti","NORRBOTTEN",291,11,9,NA
2012,"augusti","SKÅNE",2908,79,89,NA
2012,"augusti","STOCKHOLM",6720,178,99,NA
2012,"augusti","SÖDERMANLAND",384,10,4,NA
2012,"augusti","UPPSALA",1249,20,31,NA
2012,"augusti","VÄRMLAND",469,10,16,NA
2012,"augusti","VÄSTERBOTTEN",635,19,15,NA
2012,"augusti","VÄSTERNORRLAND",456,23,10,NA
2012,"augusti","VÄSTMANLAND",326,15,14,NA
2012,"augusti","VÄSTRA GÖTALAND",3084,103,99,NA
2012,"augusti","ÖREBRO",472,9,8,NA
2012,"augusti","ÖSTERGÖTLAND",842,17,23,NA
2012,"augusti","Okänd",37,NA,NA,NA
2012,"september","BLEKINGE",235,9,8,NA
2012,"september","DALARNA",328,10,6,NA
2012,"september","GOTLAND",221,7,7,NA
2012,"september","GÄVLEBORG",358,13,7,NA
2012,"september","HALLAND",476,14,11,NA
2012,"september","JÄMTLAND",238,2,14,NA
2012,"september","JÖNKÖPING",415,10,9,NA
2012,"september","KALMAR",329,8,12,NA
2012,"september","KRONOBERG",345,3,6,NA
2012,"september","NORRBOTTEN",294,11,10,NA
2012,"september","SKÅNE",2919,79,87,NA
2012,"september","STOCKHOLM",6770,150,107,NA
2012,"september","SÖDERMANLAND",382,8,5,NA
2012,"september","UPPSALA",1261,17,32,NA
2012,"september","VÄRMLAND",471,10,17,NA
2012,"september","VÄSTERBOTTEN",649,20,15,NA
2012,"september","VÄSTERNORRLAND",462,20,13,NA
2012,"september","VÄSTMANLAND",330,13,14,NA
2012,"september","VÄSTRA GÖTALAND",3099,92,96,NA
2012,"september","ÖREBRO",476,7,8,NA
2012,"september","ÖSTERGÖTLAND",887,14,22,NA
2012,"september","Okänd",37,NA,NA,NA
2012,"oktober","BLEKINGE",234,6,7,NA
2012,"oktober","DALARNA",331,10,8,NA
2012,"oktober","GOTLAND",220,9,7,NA
2012,"oktober","GÄVLEBORG",359,12,7,NA
2012,"oktober","HALLAND",477,13,11,NA
2012,"oktober","JÄMTLAND",234,2,12,NA
2012,"oktober","JÖNKÖPING",410,8,10,NA
