year;month;age_group;antal;ers;aktivitets;arb_m_stod
2013;juni;60-64;1397;30;36;48
2013;juli;<25;72;1;2;0
2013;juli;25-29;1194;36;5;7
2013;juli;30-34;2458;88;11;23
2013;juli;35-39;3029;59;23;31
2013;juli;40-44;3103;72;37;32
2013;juli;45-49;2683;55;42;32
2013;juli;50-54;2257;58;38;47
2013;juli;55-59;1839;48;40;40
2013;juli;60-64;1384;32;38;44
2013;augusti;<25;75;2;2;0
2013;augusti;25-29;1190;36;6;8
2013;augusti;30-34;2444;97;13;21
2013;augusti;35-39;3041;77;27;29
2013;augusti;40-44;3100;84;38;37
2013;augusti;45-49;2688;59;39;30
2013;augusti;50-54;2268;57;44;47
2013;augusti;55-59;1844;43;38;40
2013;augusti;60-64;1377;32;35;44
2013;september;<25;96;6;1;0
2013;september;25-29;1247;41;7;7
2013;september;30-34;2480;95;11;21
2013;september;35-39;3037;71;30;27
2013;september;40-44;3107;77;39;35
2013;september;45-49;2707;62;39;29
2013;september;50-54;2270;62;43;48
2013;september;55-59;1843;53;36;40
2013;september;60-64;1389;39;34;44
2013;oktober;<25;99;5;2;0
2013;oktober;25-29;1269;34;7;8
2013;oktober;30-34;2476;85;7;20
2013;oktober;35-39;3030;72;31;25
2013;oktober;40-44;3131;68;36;34
2013;oktober;45-49;2720;66;39;31
2013;oktober;50-54;2266;60;41;47
2013;oktober;55-59;1854;52;35;41
2013;oktober;60-64;1397;37;32;45
2013;november;<25;102;4;4;0
2013;november;25-29;1260;36;6;7
2013;november;30-34;2479;85;7;18
2013;november;35-39;3027;66;30;25
2013;november;40-44;3138;58;38;33
2013;november;45-49;2709;54;43;32
2013;november;50-54;2266;53;41;46
2013;november;55-59;1838;40;40;41
2013;november;60-64;1381;30;29;47
2013;december;<25;103;4;3;
2013;december;25-29;1259;35;10;6
2013;december;30-34;2458;74;16;17
2013;december;35-39;3012;66;31;21
2013;december;40-44;3127;67;37;31
2013;december;45-49;2681;52;50;31
2013;december;50-54;2255;57;40;46
2013;december;55-59;1844;44;41;42
2013;december;60-64;1303;30;31;47
2014;januari;<25;101;2;3;
2014;januari;25-29;1269;46;8;6
2014;januari;30-34;2454;86;19;17
2014;januari;35-39;3022;80;28;20
2014;januari;40-44;3138;67;37;33
2014;januari;45-49;2690;61;51;30
2014;januari;50-54;2269;67;39;46
2014;januari;55-59;1857;53;41;42
2014;januari;60-64;1310;28;31;43
2014;februari;<25;81;1;2;
2014;februari;25-29;1121;40;5;5
2014;februari;30-34;2343;77;21;17
2014;februari;35-39;2917;87;25;19
2014;februari;40-44;3091;68;31;31
2014;februari;45-49;2652;59;48;29
2014;februari;50-54;2238;67;34;43
2014;februari;55-59;1838;51;43;45
2014;februari;60-64;1304;30;29;43
2014;mars;<25;107;1;2;1
2014;mars;25-29;1254;44;10;6
2014;mars;30-34;2463;80;24;19
2014;mars;35-39;2975;85;23;23
2014;mars;40-44;3171;68;33;31
2014;mars;45-49;2685;64;45;34
2014;mars;50-54;2309;66;36;46
2014;mars;55-59;1861;50;41;46
2014;mars;60-64;1265;29;24;44
2014;april;<25;103;;2;1
2014;april;25-29;1261;43;8;6
2014;april;30-34;2468;82;24;17
2014;april;35-39;2988;71;26;23
2014;april;40-44;3206;70;34;32
2014;april;45-49;2702;60;46;33
2014;april;50-54;2318;61;37;46
2014;april;55-59;1879;43;41;45
2014;april;60-64;1297;31;24;44
2014;maj;<25;92;;2;2
2014;maj;25-29;1252;42;8;6
2014;maj;30-34;2449;86;23;16
2014;maj;35-39;2975;77;26;24
2014;maj;40-44;3225;86;35;33
2014;maj;45-49;2725;68;47;31
2014;maj;50-54;2314;59;33;48
2014;maj;55-59;1878;47;40;43
2014;maj;60-64;1299;27;25;44
